Sex,MaritalStatus,Age,Education,Occupation,YearsInSf,DualIncome,HouseholdMembers,UnderEighteen,HouseholdStatus,TypeOfHome,EthnicClass,Language,Income
two,one,four,four,one,five,two,five,three,one,one,seven,one,eight
two,one,five,four,five,five,three,three,zero,one,one,seven,one,eight
two,five,two,two,six,two,one,three,zero,three,one,three,one,two
two,one,six,four,two,five,two,four,two,two,one,seven,one,six
two,one,five,four,five,five,three,three,zero,one,one,seven,one,eight
two,one,six,three,five,unknown,three,two,zero,one,one,seven,one,six
two,one,four,three,five,three,three,six,four,one,one,seven,unknown,eight
two,one,three,three,five,five,three,five,three,one,one,five,one,six
two,five,one,two,two,five,one,three,one,three,two,seven,one,four
one,three,five,four,one,five,one,one,zero,two,two,seven,one,seven
one,five,one,two,six,unknown,one,five,three,three,one,seven,one,one
two,one,five,six,five,five,three,two,zero,one,one,seven,unknown,nine
one,one,one,five,eight,five,two,three,zero,two,one,three,two,three
one,five,one,one,three,five,one,unknown,zero,three,one,seven,one,one
one,five,one,one,six,five,one,four,two,three,one,seven,one,one
two,one,four,four,one,five,two,two,zero,one,one,seven,one,nine
two,one,six,six,five,five,three,two,zero,one,one,seven,one,eight
two,three,five,four,one,two,one,one,zero,one,one,seven,one,one
one,one,three,four,three,five,two,three,one,one,one,seven,one,eight
one,three,four,three,three,five,one,one,zero,one,one,eight,one,four
two,one,three,five,one,four,two,three,one,one,two,seven,one,eight
one,one,seven,four,eight,five,two,four,two,one,one,seven,one,seven
two,one,five,four,five,unknown,one,four,one,two,three,two,unknown,three
one,five,one,two,six,five,one,five,three,three,one,five,one,one
one,five,one,two,six,five,one,five,three,three,one,seven,one,one
two,one,four,four,five,four,three,four,two,one,one,two,three,seven
one,five,one,one,six,five,one,three,zero,three,one,seven,one,one
two,one,six,five,one,unknown,two,two,zero,one,one,seven,one,nine
two,three,four,two,one,five,one,two,zero,three,one,seven,one,three
two,one,four,four,five,five,three,four,two,one,one,seven,one,nine
two,one,three,four,five,two,three,four,two,one,two,seven,one,eight
one,five,one,two,four,five,one,five,three,three,one,seven,one,one
two,one,five,three,five,unknown,three,three,one,one,one,seven,one,six
two,one,six,three,eight,unknown,three,unknown,zero,two,three,seven,three,two
two,five,three,five,one,five,one,four,zero,two,one,three,three,four
two,one,seven,three,five,unknown,three,two,two,one,one,seven,one,three
two,two,two,five,one,four,one,two,zero,two,three,seven,one,eight
one,one,three,five,six,two,three,three,zero,two,one,seven,one,five
two,unknown,four,five,five,unknown,three,five,three,one,one,seven,one,six
one,one,six,five,one,five,two,two,zero,one,one,seven,one,nine
two,one,two,two,five,three,three,four,two,two,three,seven,one,two
two,two,four,four,three,unknown,one,two,zero,two,one,seven,one,two
two,one,four,six,five,two,three,four,one,one,one,seven,one,nine
one,one,three,four,one,three,two,two,zero,two,three,two,one,four
one,five,two,four,six,four,one,two,zero,two,three,seven,one,three
two,one,two,four,two,five,two,two,zero,two,three,seven,one,five
one,three,six,three,eight,unknown,one,one,zero,one,two,seven,one,five
two,five,two,four,six,three,one,four,zero,three,one,seven,one,nine
two,one,six,four,four,five,two,two,zero,one,one,seven,one,eight
one,five,two,four,six,five,one,three,zero,three,one,seven,one,nine
one,five,two,four,six,five,one,four,zero,one,one,five,one,nine
two,one,six,four,five,two,one,two,zero,one,five,seven,three,seven
two,one,six,three,two,five,two,two,zero,one,one,seven,one,eight
one,one,seven,three,eight,five,three,two,zero,one,four,seven,one,three
two,one,six,four,eight,five,three,two,zero,one,two,seven,one,seven
two,one,seven,four,eight,unknown,three,two,zero,one,one,seven,one,five
two,three,seven,three,eight,five,one,two,zero,one,one,seven,one,one
two,one,five,six,one,five,two,four,two,one,one,seven,one,nine
two,unknown,four,four,one,five,one,unknown,zero,two,unknown,seven,unknown,four
two,one,five,six,one,two,two,three,zero,one,one,four,three,eight
two,one,four,three,five,five,three,two,zero,one,one,eight,two,seven
two,five,one,three,nine,four,one,three,one,three,one,seven,one,five
one,five,two,three,six,five,one,two,zero,three,one,seven,one,six
one,five,one,two,two,five,one,three,one,three,one,seven,one,eight
one,five,one,two,six,five,one,five,three,three,one,seven,one,one
two,five,one,one,one,two,one,seven,five,two,two,eight,unknown,seven
two,five,two,three,one,five,one,two,zero,three,three,seven,one,one
two,one,six,four,one,five,two,six,zero,one,one,one,one,seven
two,one,five,four,five,five,three,four,zero,one,one,seven,one,six
one,one,three,six,two,two,two,two,zero,two,three,unknown,one,eight
one,five,two,two,six,five,one,five,one,three,one,seven,one,nine
two,two,three,three,four,two,one,three,one,two,three,one,one,four
two,unknown,seven,three,eight,five,one,one,zero,two,three,seven,one,five
two,one,seven,four,eight,five,three,two,zero,one,one,seven,one,five
two,three,three,four,four,unknown,one,three,one,two,two,seven,one,two
two,one,two,five,two,two,two,two,zero,two,one,seven,one,three
one,five,five,six,one,one,one,one,zero,two,two,seven,one,six
two,four,seven,three,eight,two,one,two,zero,unknown,two,seven,one,seven
two,three,seven,five,eight,unknown,one,unknown,zero,two,two,seven,unknown,seven
two,three,four,four,four,five,one,unknown,zero,one,one,seven,one,seven
two,five,one,one,six,five,one,unknown,zero,three,one,seven,unknown,one
two,one,three,five,five,three,three,three,one,one,one,seven,one,nine
two,two,five,four,one,five,one,two,zero,one,one,seven,unknown,eight
two,two,five,four,one,five,one,two,zero,one,one,seven,one,eight
two,five,one,two,six,unknown,one,five,one,three,one,seven,one,one
two,one,four,five,four,three,two,four,two,one,one,seven,one,eight
two,unknown,four,three,unknown,unknown,three,four,two,one,one,seven,unknown,seven
two,three,three,four,five,five,one,four,three,two,two,seven,one,six
one,one,six,four,eight,five,three,unknown,zero,unknown,unknown,unknown,unknown,eight
two,one,five,six,four,five,three,three,zero,one,one,seven,one,four
two,one,five,five,one,five,two,two,zero,one,one,seven,one,nine
one,five,one,one,nine,five,one,five,three,three,one,five,one,one
two,one,five,four,one,four,two,five,one,one,one,seven,one,eight
two,one,six,four,one,five,three,two,zero,one,one,seven,one,eight
two,five,one,two,six,unknown,one,eight,six,three,unknown,seven,one,one
two,one,five,six,five,two,three,three,zero,one,one,seven,one,nine
two,five,one,two,six,three,one,five,three,three,three,two,three,one
one,one,four,four,one,four,two,six,two,two,one,seven,one,seven
one,one,four,six,one,three,two,five,three,one,one,seven,one,nine
one,one,seven,three,one,five,three,two,zero,one,one,seven,one,seven
one,one,seven,six,one,five,three,three,zero,one,one,seven,one,seven
one,five,two,four,one,unknown,one,seven,zero,two,two,seven,one,four
two,three,five,four,one,four,one,two,zero,one,one,seven,one,seven
two,five,three,six,six,five,one,seven,one,three,one,seven,one,one
one,one,seven,three,eight,five,three,three,zero,one,one,seven,one,seven
one,five,two,four,nine,two,one,unknown,zero,two,three,three,one,one
one,one,seven,three,eight,five,three,two,zero,one,one,seven,one,five
two,one,four,six,one,three,two,four,two,one,one,seven,one,nine
two,five,one,two,four,three,one,two,one,three,unknown,seven,one,two
two,five,one,two,four,five,one,three,two,three,three,five,one,two
one,one,six,four,eight,five,three,two,zero,one,one,seven,one,eight
two,one,four,four,five,five,three,four,zero,one,one,seven,one,eight
two,one,four,five,one,five,two,two,zero,one,one,seven,one,nine
two,one,three,five,one,three,two,two,zero,one,five,seven,one,nine
two,one,four,six,one,five,two,three,one,one,one,seven,one,nine
one,one,four,six,one,five,two,two,zero,one,one,five,one,nine
one,five,one,two,six,three,one,six,three,three,five,seven,one,one
two,one,two,three,one,five,two,two,zero,two,three,seven,one,two
one,one,seven,six,one,five,three,three,three,one,one,seven,one,nine
two,one,four,three,one,five,three,four,two,one,one,seven,one,six
two,one,seven,four,eight,unknown,three,two,zero,unknown,five,seven,one,three
two,three,seven,three,eight,unknown,one,one,zero,unknown,three,two,one,four
two,three,six,five,one,five,one,two,zero,one,one,seven,one,three
two,four,seven,four,four,five,one,one,zero,one,one,seven,one,one
one,five,one,two,six,four,one,three,zero,three,two,five,one,one
two,one,three,three,five,five,three,four,two,one,one,seven,one,six
one,five,four,four,two,five,one,one,zero,two,three,seven,one,five
two,four,five,four,eight,two,one,two,zero,two,three,seven,one,seven
one,five,three,four,one,two,one,two,zero,one,one,seven,one,seven
one,one,seven,six,unknown,five,three,two,zero,one,one,seven,one,seven
two,one,seven,four,eight,five,three,two,zero,one,unknown,seven,one,five
two,five,two,four,six,four,one,unknown,zero,two,two,seven,one,one
one,one,seven,four,eight,five,three,two,zero,one,one,seven,one,five
two,five,three,four,three,five,one,one,zero,two,three,seven,one,two
two,five,three,three,three,four,one,three,one,two,three,seven,one,two
two,four,seven,five,eight,five,one,one,one,two,three,seven,one,four
two,one,six,five,two,five,two,two,zero,one,one,seven,one,eight
two,one,four,six,five,four,three,five,three,one,one,seven,three,eight
one,one,seven,five,eight,five,three,two,zero,one,one,seven,one,four
two,five,three,four,four,five,one,one,zero,two,three,seven,one,five
two,five,two,four,six,five,one,four,zero,three,one,seven,one,four
two,five,two,three,two,three,one,three,one,three,one,seven,one,nine
two,three,seven,six,one,five,one,one,zero,two,one,seven,one,three
one,five,three,four,one,five,one,two,zero,one,one,six,one,eight
one,five,three,five,one,three,one,two,zero,two,two,seven,one,seven
one,one,three,five,one,four,two,three,one,two,three,seven,three,seven
one,five,three,four,one,five,one,one,zero,two,two,seven,one,seven
two,one,three,five,one,five,two,two,zero,one,one,seven,one,eight
two,five,one,two,six,four,one,three,one,three,one,two,one,one
two,one,five,four,one,five,two,two,zero,one,one,seven,one,eight
two,five,three,five,one,five,one,two,zero,one,one,five,one,six
one,one,six,six,one,five,two,two,zero,one,one,seven,one,eight
one,one,seven,three,eight,unknown,three,unknown,zero,one,one,seven,one,three
one,two,three,four,one,five,two,four,zero,two,one,seven,one,four
two,one,four,four,five,five,three,five,three,one,one,seven,one,nine
two,one,five,three,four,five,two,three,zero,one,one,seven,one,six
two,one,six,five,five,five,three,two,zero,one,unknown,seven,one,nine
two,one,five,three,one,five,three,three,one,one,one,seven,one,one
one,one,four,six,one,five,two,two,zero,one,two,seven,one,eight
one,five,two,five,one,five,one,three,zero,two,three,two,one,five
two,three,three,four,four,five,one,four,one,one,four,five,one,five
one,five,two,five,four,three,one,one,zero,three,one,seven,one,two
two,one,five,two,five,five,three,four,one,unknown,three,seven,one,six
one,one,four,one,two,five,two,three,one,two,three,five,one,six
two,five,two,three,six,five,one,three,zero,three,one,seven,one,eight
two,five,two,three,six,five,one,six,zero,two,five,seven,one,eight
two,five,one,unknown,six,three,one,four,two,three,one,five,one,one
two,three,four,six,one,five,one,one,zero,one,one,seven,one,seven
two,one,three,five,one,four,two,three,one,one,one,seven,one,nine
two,five,three,four,one,five,one,one,one,one,one,seven,one,five
one,one,seven,five,eight,five,three,two,zero,one,one,seven,one,eight
one,one,five,five,one,five,two,two,zero,one,one,seven,unknown,nine
one,five,one,one,six,five,one,three,one,three,two,five,one,one
one,one,three,four,unknown,five,two,two,zero,two,two,seven,one,four
one,one,six,four,one,five,two,three,zero,one,one,seven,one,eight
one,three,five,three,three,four,one,four,one,two,one,seven,one,seven
one,one,three,four,one,four,two,four,two,two,one,seven,one,nine
one,one,six,five,one,five,two,two,zero,one,one,seven,one,nine
one,one,six,six,one,five,two,three,one,one,one,seven,one,eight
two,two,three,four,three,five,one,two,zero,two,three,seven,one,six
one,one,three,four,three,five,two,two,zero,one,one,seven,one,seven
one,one,six,six,eight,five,three,two,zero,one,one,seven,one,nine
one,five,two,three,one,five,one,three,zero,two,two,seven,one,eight
one,one,five,unknown,two,five,two,four,two,one,one,seven,one,six
one,one,five,six,one,five,three,two,one,one,one,three,one,eight
one,five,one,two,four,five,one,four,two,three,one,seven,one,nine
one,one,six,five,one,five,three,two,zero,one,one,seven,one,eight
one,one,seven,four,eight,five,two,two,zero,one,one,seven,one,nine
one,one,six,four,one,five,two,two,zero,two,one,seven,one,nine
one,five,three,four,six,five,one,four,zero,two,one,seven,one,four
one,five,two,four,three,five,one,three,zero,three,one,seven,one,nine
one,one,five,six,one,five,one,three,zero,one,one,three,one,eight
one,five,three,six,one,five,one,two,zero,two,three,seven,one,five
one,one,five,three,eight,five,two,three,zero,one,one,seven,one,seven
two,one,seven,four,eight,five,three,three,zero,one,one,seven,one,nine
one,one,four,six,one,five,two,three,one,one,one,seven,one,nine
one,one,seven,five,eight,five,three,two,zero,one,one,seven,one,five
two,three,six,three,four,unknown,one,one,zero,one,five,seven,one,six
one,one,six,four,one,five,two,three,one,one,one,seven,one,eight
one,one,four,five,two,five,two,four,two,one,one,seven,one,nine
one,one,four,six,one,five,two,two,zero,one,one,seven,one,nine
one,one,four,six,one,five,two,four,two,one,one,seven,one,eight
one,one,three,six,one,five,two,two,zero,one,one,one,one,nine
one,two,two,three,three,two,one,four,zero,two,three,seven,one,four
one,one,four,five,one,five,two,four,one,one,one,seven,one,nine
one,one,six,five,eight,five,two,four,zero,one,one,seven,one,seven
two,one,three,three,one,three,three,four,two,two,three,seven,one,seven
one,one,three,four,one,four,two,four,two,one,one,seven,one,eight
one,one,five,four,one,five,three,two,zero,one,one,seven,one,eight
one,three,four,six,nine,three,one,one,zero,two,one,seven,one,one
one,three,seven,two,eight,five,one,one,zero,one,one,seven,one,two
two,three,five,three,four,five,one,unknown,zero,one,one,five,one,four
one,one,seven,three,eight,five,three,two,zero,one,one,seven,one,six
two,five,two,four,one,five,one,six,one,three,one,seven,one,three
one,one,seven,four,eight,unknown,three,two,zero,one,two,seven,one,four
two,four,seven,three,four,five,one,one,zero,one,one,seven,one,four
one,five,two,four,one,five,one,one,zero,two,one,seven,one,five
two,four,four,three,four,unknown,one,five,three,two,three,seven,one,two
two,three,six,four,five,five,one,four,zero,one,one,seven,one,six
two,one,three,four,two,five,two,three,one,two,three,seven,one,six
two,three,four,six,one,five,one,one,zero,one,two,seven,one,eight
one,one,three,three,three,five,two,four,two,two,five,seven,one,six
two,five,seven,six,eight,five,one,two,zero,one,one,seven,one,one
two,one,five,four,five,five,two,five,one,one,one,seven,one,eight
two,one,five,four,five,four,two,four,two,two,two,three,one,seven
two,one,three,four,five,four,three,five,zero,two,one,seven,one,five
two,one,four,five,two,five,two,four,one,one,one,seven,one,nine
two,five,three,five,one,five,one,one,zero,two,two,seven,one,six
two,one,six,four,eight,five,three,three,zero,one,one,seven,one,four
two,one,three,five,one,five,two,four,two,one,one,seven,one,eight
two,three,five,four,two,unknown,one,one,zero,two,unknown,seven,one,four
one,five,two,four,six,five,one,three,zero,three,one,seven,one,three
one,one,four,four,one,five,three,four,two,one,one,seven,one,seven
two,five,two,four,six,five,one,unknown,zero,three,one,seven,one,eight
one,one,seven,four,eight,five,three,unknown,zero,one,one,seven,one,six
two,one,seven,six,eight,unknown,three,two,zero,one,two,seven,one,eight
two,one,three,five,one,five,two,four,two,one,one,eight,three,nine
one,five,two,four,two,five,one,three,zero,three,one,seven,one,nine
one,five,two,two,four,two,one,four,zero,three,one,seven,one,nine
one,five,two,two,six,two,one,four,zero,three,one,seven,one,one
one,five,three,five,one,five,one,two,zero,one,one,seven,one,eight
one,one,three,five,one,five,two,two,zero,one,one,seven,one,eight
two,five,two,four,six,three,one,five,two,one,one,seven,one,one
one,five,two,three,six,four,one,three,zero,two,one,seven,one,five
one,five,two,three,seven,three,one,unknown,zero,three,one,seven,one,one
two,one,five,four,one,five,two,two,zero,one,one,seven,one,nine
two,one,six,five,seven,five,three,two,zero,one,one,seven,one,four
one,five,five,five,one,five,one,one,zero,two,three,seven,one,three
one,one,five,six,one,five,three,two,zero,one,one,seven,one,nine
two,four,seven,four,one,five,one,unknown,zero,one,one,seven,one,one
one,one,seven,five,eight,five,three,two,zero,one,one,seven,one,seven
one,five,one,two,two,four,one,four,two,three,one,seven,three,one
one,five,one,three,six,five,one,four,two,three,one,seven,one,one
two,two,three,two,four,five,one,two,zero,one,two,seven,one,seven
two,one,six,three,five,unknown,three,two,zero,one,one,seven,one,five
one,five,three,four,one,three,one,one,zero,one,one,seven,one,eight
two,three,five,four,unknown,five,one,one,zero,one,unknown,seven,one,six
two,two,three,five,one,five,one,two,zero,one,one,seven,one,six
two,one,four,four,one,five,two,two,zero,one,one,seven,one,eight
one,one,five,four,one,five,three,three,zero,one,one,one,one,eight
one,one,six,six,eight,five,three,two,zero,one,five,seven,one,eight
two,five,seven,six,eight,five,one,two,zero,one,one,seven,unknown,five
one,five,three,six,one,five,one,one,zero,two,three,seven,one,two
two,five,three,four,eight,five,one,one,zero,two,five,five,one,one
two,three,three,five,one,five,one,two,zero,two,three,seven,one,three
two,five,three,five,two,five,one,one,zero,two,three,seven,one,five
one,one,six,four,two,five,two,two,zero,one,one,seven,unknown,seven
one,five,three,four,four,five,one,one,zero,two,three,seven,one,three
two,five,four,four,one,five,one,two,zero,one,one,seven,one,eight
two,five,one,two,six,unknown,one,unknown,three,three,one,one,one,one
two,five,one,three,six,two,one,four,two,three,one,seven,one,one
two,one,three,five,four,five,two,two,zero,one,one,seven,one,eight
two,one,six,four,one,five,two,two,zero,one,one,seven,one,eight
two,one,six,four,five,five,three,four,zero,one,one,seven,one,eight
two,one,four,five,one,four,two,four,two,one,one,seven,one,eight
two,five,three,four,one,unknown,one,three,zero,one,one,seven,one,six
one,three,five,six,one,five,one,unknown,one,one,one,seven,one,eight
one,five,two,four,six,five,one,three,zero,one,one,seven,one,nine
one,one,five,five,one,unknown,two,four,two,one,one,two,one,eight
two,three,five,four,one,five,one,one,zero,two,three,seven,one,six
one,one,three,six,one,two,two,two,zero,two,three,seven,one,six
two,one,two,three,six,one,three,two,zero,two,three,seven,one,six
one,five,four,six,one,four,one,one,zero,one,five,seven,one,eight
two,three,five,six,four,five,one,one,zero,two,unknown,seven,one,six
one,two,four,four,one,five,two,two,zero,two,three,seven,one,eight
one,one,three,six,one,two,three,two,zero,two,one,two,three,six
two,five,three,six,four,five,one,two,zero,two,one,two,one,two
two,five,two,four,five,five,one,five,zero,three,one,seven,one,eight
two,five,one,two,six,five,one,four,two,three,one,five,one,one
two,one,three,three,four,five,two,four,two,one,one,seven,one,eight
two,one,four,six,one,unknown,two,four,two,one,one,seven,one,nine
one,two,two,four,two,five,one,two,zero,unknown,three,five,one,one
two,two,two,four,six,five,one,two,zero,two,three,seven,one,one
two,one,four,four,five,five,three,four,two,one,one,seven,one,eight
one,five,two,four,three,five,one,three,zero,three,one,seven,one,two
one,one,four,three,one,five,three,two,zero,one,unknown,seven,one,nine
two,two,two,four,five,five,one,three,one,two,one,seven,one,two
two,three,seven,five,four,five,one,one,zero,one,unknown,seven,one,seven
two,five,three,six,nine,five,one,one,zero,two,three,seven,one,four
one,five,one,two,two,unknown,one,unknown,zero,three,one,seven,one,two
one,five,one,two,six,five,one,three,one,three,one,seven,one,one
two,one,two,three,five,two,three,four,two,two,three,seven,one,two
two,three,three,three,six,five,one,five,four,two,three,seven,one,two
two,five,four,three,two,two,one,three,two,two,three,seven,one,one
two,one,four,four,five,five,three,three,one,one,one,seven,one,six
one,one,six,one,three,five,three,four,one,one,one,three,one,three
two,five,two,two,nine,one,one,nine,three,two,three,seven,one,one
one,five,six,four,eight,five,one,one,zero,two,three,seven,one,one
one,three,six,five,seven,five,one,unknown,zero,two,unknown,seven,one,seven
two,five,two,five,six,five,one,two,zero,two,one,seven,one,one
two,three,three,four,six,four,one,three,two,two,three,seven,one,one
two,five,two,four,six,unknown,one,three,zero,three,one,one,one,one
two,one,two,five,one,three,two,two,zero,two,three,seven,one,four
one,one,two,four,three,three,two,two,zero,two,three,seven,one,four
two,four,seven,two,five,unknown,one,unknown,zero,unknown,three,seven,one,one
two,one,two,four,six,two,three,two,zero,two,three,seven,one,four
two,one,four,six,one,five,two,three,one,one,one,seven,one,seven
two,one,six,five,eight,five,three,two,zero,one,one,seven,one,eight
one,one,seven,three,eight,five,three,two,zero,one,one,seven,one,eight
one,two,three,five,four,one,one,six,four,two,one,seven,one,four
one,one,seven,five,one,five,three,two,zero,one,one,seven,one,eight
one,three,three,five,one,four,one,one,zero,one,one,seven,one,seven
two,one,four,four,five,five,two,five,three,one,one,two,one,six
two,four,six,six,eight,five,one,one,zero,one,unknown,seven,one,six
one,one,three,four,one,five,two,two,zero,two,three,seven,one,six
one,one,four,six,one,five,three,four,two,one,one,seven,one,nine
one,one,five,four,three,five,three,two,zero,one,one,seven,one,six
one,one,five,four,one,five,three,unknown,zero,one,one,one,one,nine
two,one,three,five,two,four,two,four,two,one,two,three,one,seven
two,one,four,four,one,three,two,two,zero,one,one,seven,one,nine
one,one,four,four,one,unknown,three,three,one,one,one,seven,one,nine
one,four,seven,three,seven,unknown,one,one,zero,unknown,four,seven,one,five
two,five,five,six,one,four,one,one,zero,two,three,seven,one,three
two,four,six,three,eight,five,one,one,zero,one,one,seven,one,one
one,five,five,four,eight,unknown,one,two,zero,two,one,seven,one,one
two,one,four,five,four,unknown,two,four,two,one,one,seven,one,eight
one,five,two,four,six,unknown,one,three,zero,three,one,seven,one,eight
one,five,two,five,three,unknown,one,two,zero,two,one,seven,one,three
two,three,five,three,five,five,one,two,zero,one,one,seven,one,three
two,five,four,five,one,four,one,one,zero,two,three,seven,one,four
one,two,seven,six,nine,five,one,two,zero,one,one,seven,one,six
one,one,two,three,three,unknown,two,three,one,two,three,seven,one,three
one,three,three,four,one,five,one,four,two,two,one,seven,one,three
one,five,one,three,two,one,one,four,zero,two,three,one,one,two
two,two,two,three,five,unknown,one,seven,five,two,three,five,one,five
two,two,three,two,three,unknown,two,seven,five,two,three,five,one,five
two,five,one,two,six,one,one,four,three,three,five,seven,one,one
two,three,three,five,unknown,unknown,one,two,one,two,two,seven,one,four
one,five,two,four,six,unknown,one,four,zero,three,one,seven,one,seven
two,five,two,four,six,unknown,one,four,zero,three,one,seven,one,one
two,five,two,four,six,one,one,four,zero,two,three,seven,one,eight
two,two,one,three,five,five,three,four,one,two,one,seven,one,three
one,five,one,two,six,five,one,four,two,three,one,seven,one,one
two,one,three,four,one,five,two,three,one,one,one,seven,one,eight
two,five,one,two,six,five,one,four,two,three,one,seven,one,one
one,five,one,two,six,four,one,three,two,three,one,seven,one,one
two,three,five,six,one,five,one,one,zero,one,one,seven,one,four
two,four,five,four,one,unknown,one,two,zero,one,one,seven,one,six
one,five,three,four,three,unknown,one,one,zero,two,three,seven,one,three
two,three,three,three,three,five,one,one,zero,two,five,seven,one,two
two,one,four,six,one,five,two,three,one,one,one,seven,one,nine
one,one,three,four,one,five,two,two,zero,one,one,eight,one,eight
two,one,six,three,eight,five,three,two,zero,one,one,seven,one,six
two,five,three,four,two,five,one,one,zero,two,three,seven,one,two
one,unknown,two,four,seven,unknown,one,one,zero,two,three,seven,three,two
one,five,two,four,three,two,one,eight,two,three,one,seven,one,three
one,five,three,three,one,unknown,one,two,zero,two,three,seven,one,six
one,five,three,four,three,five,one,four,zero,two,one,seven,one,one
one,five,one,two,two,five,one,three,one,three,one,seven,one,eight
one,five,three,three,six,two,one,three,zero,two,three,three,one,two
two,five,two,three,four,two,one,two,zero,two,one,seven,one,three
two,three,three,three,five,two,one,two,one,three,three,seven,one,one
one,five,four,four,three,five,one,one,zero,two,four,seven,one,six
two,one,five,five,one,four,two,two,zero,one,one,seven,one,seven
one,one,five,three,eight,unknown,three,two,zero,one,one,seven,one,nine
one,five,one,two,two,five,one,two,one,three,three,seven,one,one
one,one,seven,one,eight,five,three,two,zero,unknown,four,seven,one,seven
two,five,two,two,six,five,one,three,zero,three,one,unknown,one,nine
one,one,four,six,one,five,two,four,two,one,one,seven,one,eight
two,one,four,four,one,unknown,two,four,zero,one,one,eight,unknown,eight
two,five,one,two,nine,two,one,four,three,three,one,seven,one,one
one,one,seven,three,two,five,three,two,zero,two,one,seven,one,three
two,one,six,three,five,five,three,two,zero,one,four,seven,one,seven
one,five,three,four,two,five,one,three,zero,three,three,seven,one,four
two,five,two,three,two,unknown,one,one,zero,two,one,seven,one,two
one,one,seven,four,eight,five,three,two,zero,one,one,seven,one,six
one,one,seven,five,eight,five,three,two,zero,one,one,seven,one,six
two,four,seven,three,eight,two,one,one,zero,one,four,seven,one,five
two,one,five,five,unknown,five,two,three,one,one,one,seven,one,six
one,one,seven,four,one,unknown,three,two,zero,one,one,seven,one,five
one,five,three,four,unknown,two,one,unknown,zero,one,four,seven,one,nine
two,five,two,three,two,five,one,four,one,two,one,seven,one,four
two,five,one,one,one,one,one,three,one,three,three,seven,one,three
two,five,one,one,six,unknown,one,unknown,zero,three,three,seven,one,one
two,one,six,three,five,five,three,two,zero,one,one,seven,one,two
two,one,six,six,two,five,two,two,zero,two,three,seven,one,six
one,three,six,six,eight,five,one,two,zero,two,one,seven,one,seven
two,one,two,three,six,five,two,four,two,two,three,seven,unknown,four
two,three,four,four,four,unknown,one,four,zero,two,two,seven,one,four
two,five,one,two,six,two,one,five,three,three,one,seven,one,one
two,two,four,five,two,unknown,one,three,zero,one,two,seven,unknown,six
one,one,seven,six,eight,five,three,two,zero,one,one,seven,one,four
two,five,one,one,unknown,five,one,four,two,three,one,seven,one,one
one,two,two,four,six,unknown,one,two,zero,two,three,seven,one,two
one,five,three,two,nine,five,one,two,zero,two,one,five,two,one
